Model,Parameter,Value
EXP,init,1.0
EXP,lam,2.0000000298023224
GAM,k,1.0
GAM,t,1.0000000149011612
POLY,a,2.7630012448467103e-11
POLY,b,-3.8063262797250518e-06
POLY,c,0.18552519469670675
